fold,precision,recall,f1,roc_auc,mcc,pr_auc
Fold_1,0.9951923076923077,0.9994694960212201,0.9973191482814856,0.9999974247379672,0.9946526074095657,0.9999765489423573
Fold_2,0.9975845410628019,0.99973474801061,0.9986566850636356,1.0,0.9973169711621163,1.0
Fold_3,0.9904761904761905,0.9989389920424403,0.9946612402467421,0.9999948494759341,0.9893789892594373,0.9999533233756535
Fold_4,0.9951923076923077,0.9994694960212201,0.9973191482814856,0.999997424737967,0.9946526074095657,0.9999765489423573
Fold_5,1.0,1.0,1.0,1.0,1.0,1.0
Fold_6,1.0,1.0,1.0,1.0,1.0,1.0
Fold_7,0.9951923076923077,0.9994692144373674,0.9973190073400191,1.0,0.9946523270339319,1.0
Fold_8,0.9975845410628019,0.9997346072186837,0.9986566146303022,0.9999922701131655,0.9973168306733989,0.99992930419618
Fold_9,0.9871837447886863,0.99139148269536,0.9892760293600766,0.9999330076474348,0.9785661810972018,0.9993894179006997
Fold_10,0.992822966507177,0.9992038216560509,0.9959871357941728,1.0,0.9920062666742681,1.0
