train_size,train_f1_mean,train_f1_std,val_f1_mean,val_f1_std
1672,1.0,0.0,0.9839686475926394,0.003294325100769451
3344,1.0,0.0,0.9897462440828297,0.002957200996794555
5016,1.0,0.0,0.991598558390919,0.0019835951892392158
6689,1.0,0.0,0.9927944698087503,0.0020935347299757294
8361,1.0,0.0,0.9946464380679687,0.0015218960242238077
10033,1.0,0.0,0.9949199530027272,0.0025833438650258098
11706,1.0,0.0,0.9958446612927329,0.001544369777643436
13378,1.0,0.0,0.9962495348600594,0.001918570874485306
15050,1.0,0.0,0.9967874580467416,0.002172812179470847
16723,1.0,0.0,0.997719311660048,0.0015046283617284437
