threshold,F1_macro,Precision,Recall,MCC
0.1,0.9848,0.9467,1.0,0.97
0.15,0.9894,0.9626,1.0,0.979
0.2,0.9905,0.9662,1.0,0.9811
0.25,0.992,0.9717,1.0,0.9842
0.3,0.9947,0.981,1.0,0.9894
0.35,0.9947,0.981,1.0,0.9894
0.4,0.9962,0.9885,0.9981,0.9925
0.45,0.9968,0.9904,0.9981,0.9936
0.5,0.9973,0.9923,0.9981,0.9946
0.55,0.9978,0.9942,0.9981,0.9957
0.6,0.9973,0.9942,0.9961,0.9946
0.65,0.9978,0.9961,0.9961,0.9957
0.7,0.9984,0.9981,0.9961,0.9968
0.75,0.9989,1.0,0.9961,0.9978
0.8,0.9978,1.0,0.9922,0.9957
0.85,0.9957,1.0,0.9845,0.9914
0.9,0.994,1.0,0.9786,0.9881
